1,2010-01-31 23:12:47,2010-01-31 23:17:47,0,5.825,-74.00060159374999,40.72801271875,-73.99923440625,40.72898928125,2.6550201574961343,4.008928457895915,4.00067671140035,4.007287661234538,4.013624509175618,2.3185669581095376,4.014096577962239,1.6369411150614421
10,2010-01-30 08:10:25,2010-01-31 23:59:59,0,2.0625,-74.0091048984375,40.7108979296875,-74.0087631015625,40.7111420703125,4.13976256052653,1.6954392592112224,4.0065864721934,4.009954531987508,4.002973715464274,4.019944190979004,4.010062138239543,3.0358227094014487
11,2010-01-17 19:30:00,2010-01-17 19:40:53,1.94875,3.51125,-73.9876428984375,40.7387249296875,-73.9873011015625,40.7389690703125,0.824406623840332,4.009637673695882,4.009281714757283,3.1940038998921714,3.181500514348348,0.49101964632670086,4.043262879053752,0.39380749066670734
14,2010-01-31 03:43:44,2010-01-31 03:54:37,0,6.75,-73.98570659375,40.76323771875,-73.98433940625,40.76421428125,1.7490588823954265,4.007048527399699,4.0006734530131025,4.000699440638225,4.009859641393025,1.6453495820363362,3.926973581314087,2.648637533187866
17,2010-01-10 01:02:55,2010-01-10 02:30:06,0.751171875,0.848828125,-73.986089796875,40.755133859375,-73.985406203125,40.755622140625,0.7217121124267578,2.852189858754476,4.0101892948150635,4.048869689305623,4.007019599278768,0.4921197096506755,4.282643000284831,0.676186720530192
30,2010-01-26 15:27:00,2010-01-26 16:54:11,1.979375,2.760625,-73.95834859375,40.76118371875,-73.95698140625001,40.76216028125,0.7639159361521403,4.0092527866363525,4.006610155105591,3.406571706136068,4.007097403208415,0.7857559521993002,4.027745405832927,1.1430102189381917
32,2010-01-30 16:45:00,2010-01-31 04:22:29,0,7.35,-73.96974159375,40.76783471875,-73.96837440625,40.76881128125,4.38323434193929,2.9867775440216064,4.000737110773723,4.007169961929321,4.007006327311198,3.1686602433522544,4.006786823272705,3.3995052178700766
40,2010-01-27 07:10:00,2010-01-27 07:31:47,7.914999999999999,14.165,-74.00807918749999,40.7298734375,-74.0053448125,40.7318265625,2.7896433671315513,4.0092746416727705,4.009867588678996,4.15518856048584,3.797027111053467,1.7367640336354573,4.019523461659749,3.066054026285807
42,2010-01-31 22:14:00,2010-01-31 23:59:59,0,26.71,-73.95778559375,40.78216971875,-73.95641840625001,40.78314628125,0.9883391857147217,4.009604295094808,4.00067416826884,4.0007251898447675,4.007004419962565,1.5529789924621582,4.006107012430827,0.7438870271046957
46,2010-01-30 23:33:47,2010-01-30 23:38:47,0.751171875,0.848828125,-73.98743879687501,40.722188859375,-73.986755203125,40.722677140625,0.7775542736053467,3.5541840394337973,4.006828228632609,4.039868513743083,4.010060469309489,0.5797506173451742,3.090825319290161,0.802245299021403
51,2010-01-23 10:42:00,2010-01-23 10:52:53,0,5.545,-74.0108278984375,40.7110679296875,-74.01048610156249,40.7113120703125,0.21355128288269043,2.9132182598114014,4.000880479812622,4.009942452112834,4.009931564331055,0.4748377005259196,4.009775638580322,0.3531448046366374
55,2010-01-27 20:33:35,2010-01-27 20:39:01,0.8187500000000001,2.38125,-73.966927375,40.765836875,-73.96145862499999,40.769743125,4.009930769602458,4.009470701217651,4.003722111384074,4.009918451309204,4.0094029903411865,4.063579956690471,4.0264198780059814,2.8674404621124268
59,2010-01-01 01:55:00,2010-01-01 02:38:35,0,27.5,-73.98103479687501,40.771442859375,-73.980351203125,40.771931140625,0.5564429759979248,1.6803115208943684,4.000688234965007,3.1607789993286133,4.006809711456299,0.7483642896016439,4.010239998499553,0.4899880091349284
60,2010-01-08 21:44:53,2010-01-09 00:39:15,0,26.3,-73.98266889843751,40.7755279296875,-73.9823271015625,40.7757720703125,0.877512534459432,4.008807182312012,4.000663598378499,4.009971857070923,4.009928305943807,1.3331491152445476,4.009552717208862,1.5839187304178874
68,2010-01-20 22:43:04,2010-01-21 04:31:48,0,15.6,-73.9947678984375,40.7265969296875,-73.9944261015625,40.7268410703125,0.33181055386861164,0.6636935075124105,4.000686963399251,2.8623992602030435,4.0201248327891035,0.40436863899230957,4.006867011388143,0.27769096692403156
69,2010-01-22 20:31:00,2010-01-22 20:41:53,1.331171875,1.428828125,-74.00815659375,40.72669671875,-74.00678940625001,40.72767328125,0.4274311065673828,4.009637435277303,4.010122776031494,3.503036896387736,4.010080655415853,0.9723455111185709,3.3139216899871826,1.1460874875386555
74,2010-01-24 04:33:00,2010-01-24 04:38:26,4.789375,5.570625,-73.9832701875,40.7394714375,-73.98053581250001,40.7414245625,2.5071326891581216,4.007147232691447,4.007035334904988,4.0363929271698,3.3207127253214517,2.748138348261515,1.9693677425384521,3.6997968355814614
76,2010-01-21 07:37:09,2010-01-31 23:59:59,0,30.4,-73.96341079687501,40.793705859375,-73.962727203125,40.794194140625,2.9414174556732178,2.887903610865275,4.003757476806641,4.0066704750061035,4.010243892669678,3.519974629084269,4.000656922658284,3.5200932025909424
77,2010-01-10 05:18:00,2010-01-10 05:28:53,4.7846875,5.1753125,-73.9967395,40.7525345,-73.97486450000001,40.7681595,4.009691635767619,4.006999651590983,4.007052739461263,4.01068099339803,3.1463851928710938,2.9285141626993814,1.0062636534372966,4.008531967798869
81,2010-01-03 18:33:56,2010-01-04 00:22:40,0,13.7,-74.0044488984375,40.7421389296875,-74.0041071015625,40.7423830703125,1.49183456103007,4.01004695892334,4.003768761952718,4.010040521621704,4.0096516609191895,1.3908371925354004,4.010715325673421,1.6463364760080974
